Wardcode,Population2011Census,Crimerate,Openspace
00AJGD,14558,52.3,34.8
00ACGC,16137,59,34.9
00ALHG,19120,137.4,34.9
00BGGG,23084,86.5,35
00ATGB,11543,72.1,35.2
00BCGQ,12044,69.1,35.7
00ADGA,10418,41.8,35.8
00BCGA,11658,62.8,36
00AJGN,14229,65.4,36.1
00ADGK,10864,59.1,36.3
00ATGD,11563,110.8,36.4
00BAGG,10024,58.1,36.6
00AEHF,15587,127.5,36.8
00ADGP,11346,57.2,36.9
00ALHA,13505,72.5,37
00BGGJ,12411,100.6,37
00BHGF,11058,77.2,37.7
00ACGD,15989,69.4,37.8
00BDGM,10396,75.8,37.8
00BAGL,9968,75.9,37.8
00AYGG,15107,133.6,37.9
00APGS,13372,94.7,38.2
00AJGW,15339,89,38.3
00ABGF,10786,109.4,38.4
00BJGK,16331,83.2,38.5
00BFGD,10667,61.1,39.1
00ATGK,12438,126.4,39.1
00AEGP,13445,78.7,39.3
00ALHF,17499,105.3,39.4
00AHGQ,14966,39.8,39.6
00AKGS,16469,70.7,39.6
00BHGL,15671,127.3,40.1
00ACGB,17250,85.4,40.3
00BEGX,13435,85.7,40.3
00BHGC,12609,118.8,40.4
00AFGZ,15122,59.5,40.5
00BFGU,11630,69.2,40.5
00ASGJ,13841,90.4,40.5
00AKGY,16531,71.9,40.6
00AKGR,16027,87.8,40.6
00ALHC,16736,98.1,41
00ASHE,12979,117.7,41.3
00BHGE,11355,74.8,41.4
00ATGE,15541,92.2,41.4
00ATGG,11408,99.1,41.4
00BAGN,10414,66.5,41.6
00BDGF,10919,60.3,41.7
00AXGD,10357,56.8,42.1
00BGFY,19461,90,42.2
00ATGA,11346,103.6,42.2
00APGG,11632,77.9,42.4
00ATGS,13554,94.2,42.5
00BAFY,9249,40.6,42.7
00ADGH,11226,61.3,42.7
00ATFZ,14353,84.3,42.9
00BGGA,12939,145.3,43
00AWGP,7252,120,43.1
00AQGC,12270,65,43.4
00AXFX,9246,49.2,43.5
00AFGT,15892,79.6,43.6
00ACGQ,15915,64.4,43.7
00BEGG,11812,92.9,43.7
00ANGD,9175,133.2,43.8
00ALGP,15704,82.9,43.9
00AFGU,9987,91.1,44.4
00ABGL,10728,143.8,44.4
00AKHA,15664,93,44.5
00ADGM,12053,86,44.6
00ASGL,12622,69.4,44.9
00ARGC,14957,76.8,44.9
00ARGT,13544,87.6,45
00ARGL,12570,72.6,45.3
00ATGF,12155,84.9,45.3
00APGF,13272,108.9,45.4
00BDGN,10528,48.8,45.6
00BEGR,13518,62.3,45.7
00AQGS,11229,62.5,45.8
00ABGH,10342,83.4,45.8
00AZGD,14775,103.1,46.7
00ADGT,10491,41.7,46.8
00AJGE,13910,80.6,47.3
00BDGJ,10820,123.3,47.3
00AJGU,14032,124.6,47.6
00BJGA,14575,62.2,47.9
00ACGL,15307,81.9,47.9
00ABGN,10787,102.3,48
00ASGQ,12906,74.9,48.1
00BJGS,15247,60.6,48.2
00BCGG,12630,91.7,48.2
00AHGU,12777,39.8,48.6
00BBGP,16633,85.2,48.6
00ATGM,14727,97.3,48.7
00ACGJ,17437,57.6,48.8
00ALGY,16527,127.7,49
00AFGP,12255,111.5,49.3
00AQGF,10093,38.6,49.5
00ASHC,10611,67,49.5
00AFGR,14632,38.8,49.7
00BDGC,10221,55.8,50
00BAGA,11474,93.2,50
00ABGB,10506,72.4,51.1
00APGA,11795,101.8,52.3
00ATFY,12701,94.5,52.5
00BAGK,10287,73.5,52.8
00BFGC,10309,67.1,53
00AJGR,14713,69.6,53.3
00ACGE,16728,93.7,54
00BDGG,10649,72.6,54.1
00ATGR,13031,93.3,54.2
00AGGL,11270,111,54.2
00BDFW,10299,61.4,54.4
00ALGU,12541,94.6,54.6
00ANGK,7483,82.6,54.7
00BHGA,10287,72.7,54.9
00AHGX,11719,39.6,55.2
00ALHE,19730,94.5,55.5
00ASGR,10387,43.5,55.7
00ARGE,12466,50.6,55.7
00ARGD,12528,34.7,55.9
00AQGD,11376,65.5,56.3
00AJGT,15121,116.4,56.3
00ABGA,10021,100.4,56.4
00BHGG,14127,209.2,56.4
00AKGW,13006,40.6,56.5
00BDGE,11436,61.6,56.6
00BHGH,13194,79.5,56.7
00AHGJ,12244,39.3,56.8
00ALHD,13433,51.1,57.1
00AQFZ,12471,52.4,57.3
00ACGP,15159,49.2,57.7
00BBGT,10679,91.6,57.8
00ACGM,18451,82.4,59
00AFGF,15113,52.8,59.3
00BCGK,12953,91.1,59.8
00AFGJ,14831,70.1,60
00AKGX,14355,61.4,60.6
00ARGJ,12650,72.9,60.7
00ASGT,10469,57.1,61
00AHGP,13213,82.2,61.3
00ADGJ,11207,46.2,61.6
00BAGQ,8491,60.3,62.2
00BKGP,12067,76.4,62.2
00ASGX,12364,85,62.8
00BDGL,10330,56.1,64
00BCGU,11543,85.9,64.2
00AGGN,10955,92.1,65.2
00ADGR,11566,89.9,65.3
00AMGL,11098,61.9,67.7
00BFGG,9715,37.1,68.2
00ARGG,14692,86.2,68.4
00AKGP,13788,55.9,68.8
00BKGH,9270,184.9,69.1
00AFGH,14507,32.7,69.2
00AFGS,15906,38,69.5
00ADGX,12094,68.5,70.5
00BJGL,16132,84.7,70.6
00AFGE,9951,43.4,71.4
00BDGA,9985,56.6,74.7
00ARGK,13000,51.8,75.3
00AXGC,10232,49.4,75.7
00AFGM,15445,115.7,76.4
00BDFX,10348,58.3,76.7
00BCFY,14544,100.4,76.8
00ARGQ,12482,81.8,79
00AKGN,13762,52.5,81.5
00BDFZ,10317,65.8,81.9
00ARGW,12833,49.5,82
00ASGN,7399,67.4,85.5
00AFGQ,5110,58.6,88.8
00AZGW,16414,71.7,99.9
