Wardname	Children	Greaterthan65	nonwhite	NotBorninUK	NotEnglishspeaking
Camden - Highgate	17.8183477863989	15.2	20.2	27.1	5.5
Lambeth - Oval	13.9944392956441	7.2	36.9	42.6	15
Hackney - Springfield	33.1879140410406	6.9	44.9	39.4	18.2
Greenwich - Eltham West	21.9924992787768	12.3	24.6	21.3	6.4
Hackney - Cazenove	28.3751493428913	5.4	43.3	36.4	16.4
Brent - Wembley Central	18.2114483601548	9.7	86	68.5	32.9
Waltham Forest - High Street	19.5087421250088	7.6	50.7	44.4	18
Hounslow - Hounslow South	19.3110098176718	12.5	45.1	38.7	13.2
Bexley - Blackfen & Lamorbey	19.6590052750565	17.5	7.3	7.1	1.2
Barking & Dagenham - Village	24.9559655140447	11.3	34.8	26	7.5
Tower Hamlets - Bromley-by-Bow	26.7334254143646	5.8	70.4	43.5	22
Sutton - Saint Helier	24.1693865595447	10.6	25.5	22.6	8.1
Waltham Forest - Cann Hall	21.689977534604	7.1	57	48.8	18.2
Wandsworth - East Putney	13.2738649980029	11	20.6	39.4	9.3
Haringey - Fortis Green	21.2764253683536	11	20.1	27.5	8.3
Croydon - South Norwood	21.2979779634338	9.9	52.3	32.1	8.2
Richmond upon Thames - Twickenham Riverside	17.1315890727203	12.4	10.3	26.8	7.2
Redbridge - Monkhams	16.9737094607561	20.7	21.1	18.8	3.8
Barnet - Hendon	20.0844521437852	11.9	36.3	48.2	20.3
Ealing - Northolt West End	25.553865485087	9.8	55.1	41.5	18.6
Redbridge - Church End	18.2354984369573	11.9	26.5	22.1	5.8
Brent - Dollis Hill	25.0651769087523	11.3	64.3	54.5	22
Hammersmith & Fulham - Fulham Broadway	13.5049108766824	10.3	29.9	43.9	15.6
Harrow - Headstone South	20.3682083520431	12	56.5	44.2	15.9
Merton - Hillside	13.8242174445806	13.7	21.7	41.6	11.3
Redbridge - Newbury	25.4474940334129	9.1	77.2	47.5	17.6
Lambeth - Streatham South	20.6682477678571	10.9	52.5	44.5	15.8
Bexley - Danson Park	18.5014727540501	17.5	16.2	13.2	3.1
Croydon - Thornton Heath	25.0256968377774	9.1	67.1	37.6	9.4
Merton - Saint Helier	21.5959285577108	13.3	35	33	11.7
Sutton - Carshalton South & Clockhouse	20.9264024704066	15.3	16.7	13.9	2.4
Bexley - Northumberland Heath	20.6170975655784	15.1	14.5	9.8	1.9
Croydon - New Addington	25.8031663734839	12.7	23.7	13.9	3
Bromley - Crystal Palace	19.2166462668299	7.8	38.1	30.3	8.3
Westminster - Lancaster Gate	11.5953012504737	8.4	33.7	64.6	32.2
Southwark - South Bermondsey	20.5297532656023	7.2	44.8	41.1	14.6
Barnet - Golders Green	27.1867361037305	12	34.2	45.8	17.5
